biocar;dosep;bloc;tens;umid
SP;12;I;2;0.428
SP;12;I;4;0.382
SP;12;I;6;0.311
SP;12;I;8;0.247
SP;12;I;10;0.188
SP;12;I;33;0.146
SP;12;I;66;0.138
SP;12;I;100;0.126
SP;12;I;300;0.118
SP;12;I;1500;0.103
SP;12;II;0;0.486
SP;12;II;1;0.445
SP;12;II;2;0.401
SP;12;II;4;0.308
SP;12;II;6;0.209
SP;12;II;8;0.181
SP;12;II;10;0.161
SP;12;II;33;0.135
SP;12;II;66;0.132
SP;12;II;100;0.126
SP;12;II;300;0.117
SP;12;II;1500;0.093
SP;12;III;0;0.481
SP;12;III;1;0.441
SP;12;III;2;0.407
SP;12;III;4;0.333
SP;12;III;6;0.228
SP;12;III;8;0.176
SP;12;III;10;0.127
SP;12;III;33;0.136
SP;12;III;66;0.135
SP;12;III;100;0.135
SP;12;III;300;0.125
SP;12;III;1500;0.11
SP;24;I;0;0.476
SP;24;I;1;0.41
SP;24;I;2;0.376
SP;24;I;4;0.339
SP;24;I;6;0.275
SP;24;I;8;0.226
SP;24;I;10;0.197
SP;24;I;33;0.226
SP;24;I;66;0.168
SP;24;I;100;0.139
SP;24;I;300;0.129
SP;24;I;1500;0.109
SP;24;II;0;0.482
SP;24;II;1;0.428
SP;24;II;2;0.4
SP;24;II;4;0.355
SP;24;II;6;0.269
SP;24;II;8;0.22
SP;24;II;10;0.195
SP;24;II;33;0.198
SP;24;II;66;0.151
SP;24;II;100;0.144
SP;24;II;300;0.144
SP;24;II;1500;0.098
SP;24;III;0;0.489
SP;24;III;1;0.442
SP;24;III;2;0.402
SP;24;III;4;0.361
SP;24;III;6;0.247
SP;24;III;8;0.194
SP;24;III;10;0.167
SP;24;III;33;0.126
SP;24;III;66;0.126
SP;24;III;100;0.116
SP;24;III;300;0.108
SP;24;III;1500;0.079
SP;48;I;0;0.488
SP;48;I;1;0.393
SP;48;I;2;0.37
SP;48;I;4;0.315
SP;48;I;6;0.252
SP;48;I;8;0.24
SP;48;I;10;0.204
SP;48;I;33;0.2
SP;48;I;66;0.187
SP;48;I;100;0.173
SP;48;I;300;0.15
SP;48;I;1500;0.109
SP;48;II;0;0.459
SP;48;II;1;0.362
SP;48;II;2;0.316
SP;48;II;4;0.221
SP;48;II;6;0.205
SP;48;II;8;0.178
SP;48;II;10;0.156
SP;48;II;33;0.124
SP;48;II;66;0.128
SP;48;II;100;0.114
SP;48;II;300;0.109
SP;48;II;1500;0.093
SP;48;III;0;0.466
SP;48;III;1;0.388
SP;48;III;2;0.352
SP;48;III;4;0.301
SP;48;III;6;0.241
SP;48;III;8;0.216
SP;48;III;10;0.181
SP;48;III;33;0.163
SP;48;III;66;0.154
SP;48;III;100;0.145
SP;48;III;300;0.142
SP;48;III;1500;0.103
SP;96;I;0;0.441
SP;96;I;1;0.368
SP;96;I;2;0.333
SP;96;I;4;0.296
SP;96;I;6;0.224
SP;96;I;8;0.185
SP;96;I;10;0.158
SP;96;I;33;0.128
SP;96;I;66;0.116
SP;96;I;100;0.115
SP;96;I;300;0.106
SP;96;I;1500;0.087
SP;96;II;0;0.52
SP;96;II;1;0.476
SP;96;II;2;0.412
SP;96;II;4;0.352
SP;96;II;6;0.258
SP;96;II;8;0.192
SP;96;II;10;0.162
SP;96;II;33;0.14
SP;96;II;66;0.128
SP;96;II;100;0.118
SP;96;II;300;0.116
SP;96;II;1500;0.102
SP;96;III;0;0.471
SP;96;III;1;0.388
SP;96;III;2;0.359
SP;96;III;4;0.299
SP;96;III;6;0.232
SP;96;III;8;0.197
SP;96;III;10;0.167
SP;96;III;33;0.131
SP;96;III;66;0.126
SP;96;III;100;0.125
SP;96;III;300;0.118
SP;96;III;1500;0.087
SP;192;I;0;0.471
SP;192;I;1;0.428
SP;192;I;2;0.404
SP;192;I;4;0.341
SP;192;I;6;0.27
SP;192;I;8;0.214
SP;192;I;10;0.181
SP;192;I;33;0.169
SP;192;I;66;0.153
SP;192;I;100;0.138
SP;192;I;300;0.129
SP;192;I;1500;0.103
SP;192;II;0;0.463
SP;192;II;1;0.417
SP;192;II;2;0.371
SP;192;II;4;0.329
SP;192;II;6;0.264
SP;192;II;8;0.209
SP;192;II;10;0.18
SP;192;II;33;0.179
SP;192;II;66;0.15
SP;192;II;100;0.148
SP;192;II;300;0.147
SP;192;II;1500;0.116
SP;192;III;0;0.469
SP;192;III;1;0.411
SP;192;III;2;0.379
SP;192;III;4;0.327
SP;192;III;6;0.284
SP;192;III;8;0.224
SP;192;III;10;0.183
SP;192;III;33;0.158
SP;192;III;66;0.148
SP;192;III;100;0.119
SP;192;III;300;0.111
SP;192;III;1500;0.083
SP;384;I;0;0.486
SP;384;I;1;0.431
SP;384;I;2;0.386
SP;384;I;4;0.269
SP;384;I;6;0.227
SP;384;I;8;0.19
SP;384;I;10;0.167
SP;384;I;33;0.13
SP;384;I;66;0.129
SP;384;I;100;0.123
SP;384;I;300;0.113
SP;384;I;1500;0.096
SP;384;II;0;0.476
SP;384;II;1;0.431
SP;384;II;2;0.403
SP;384;II;4;0.355
SP;384;II;6;0.298
SP;384;II;8;0.226
SP;384;II;10;0.214
SP;384;II;33;0.161
SP;384;II;66;0.157
SP;384;II;100;0.146
SP;384;II;300;0.143
SP;384;II;1500;0.106
SP;384;III;0;0.517
SP;384;III;1;0.417
SP;384;III;2;0.373
SP;384;III;4;0.299
SP;384;III;6;0.235
SP;384;III;8;0.206
SP;384;III;10;0.167
SP;384;III;33;0.14
SP;384;III;66;0.139
SP;384;III;100;0.134
SP;384;III;300;0.128
SP;384;III;1500;0.109
