solo;tensao;posi;prof;rep;dsi;dsp;thetai;ppc;trt;ue
LVAd;33;Linha;0.10-0.15 m;3;1.01;1.06;0.34;85.8703;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_3
LVAd;33;Linha;0.20-0.25 m;1;0.95;1.04;0.35;86.2073;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_1
LVAd;33;Linha;0.20-0.25 m;2;1.08;1.1;0.37;92.4273;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_2
LVAd;33;Linha;0.20-0.25 m;3;0.97;1.08;0.34;94.0703;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_3
LVAd;100;Entrelinha;0.00-0.05 m;1;1.05;1.09;0.39;107.1594;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_1
LVAd;100;Entrelinha;0.00-0.05 m;2;0.94;1.08;0.33;101.8643;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_2
LVAd;100;Entrelinha;0.00-0.05 m;3;1.1;1.13;0.42;144.9712;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_3
LVAd;100;Entrelinha;0.10-0.15 m;1;1.13;1.16;0.41;119.1035;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_1
LVAd;100;Entrelinha;0.10-0.15 m;2;0.97;1.07;0.34;99.7152;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_2
LVAd;100;Entrelinha;0.10-0.15 m;3;0.97;1.07;0.34;118.8482;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_3
LVAd;100;Entrelinha;0.20-0.25 m;1;1.01;1.12;0.35;139.39;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_1
LVAd;100;Entrelinha;0.20-0.25 m;2;1.03;1.08;0.38;156.4454;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_2
LVAd;100;Entrelinha;0.20-0.25 m;3;1.18;1.22;0.42;273.3437;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_3
